"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NATUSD","National currency per US dollar","0","Units",,,1.532797,,
"AUS","Australia","PPPPRC","Purchasing Power Parities for private consumption","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NATUSD","National currency per US dollar","0","Units",,,1.53677,,
"AUS","Australia","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","SE","Standard-error","0","Units",,,0.005,,
"AUS","Australia","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","SE","Standard-error","0","Units",,,0.011,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,58427,,
"AUS","Australia","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,61171,,
"AUS","Australia","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.469,,
"AUS","Australia","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","0_TO_1","0-1 scale","0","Units",,,0.454,,
"AUS","Australia","PVTAA3","Age group 26-40: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.075,,
"AUS","Australia","PVTAA3","Age group 26-40: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.077,,
"AUS","Australia","SEICTOTAL","Income from self-employment and from goods produced for own consumption (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,3410,,
"AUS","Australia","SEICTOTAL","Income from self-employment and from goods produced for own consumption (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,3814,,
"AUS","Australia","INCAC3","Age group 26-40: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,62615,,
"AUS","Australia","INCAC3","Age group 26-40: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,64992,,
"AUS","Australia","INCAC4","Age group 41-50: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,63314,,
"AUS","Australia","INCAC4","Age group 41-50: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,64195,,
"AUS","Australia","TRRCTOTAL","Current transfers received (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,10459,,
"AUS","Australia","TRRCTOTAL","Current transfers received (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,10789,,
"AUS","Australia","PVTAA4","Age group 41-50: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.093,,
"AUS","Australia","PVTAA4","Age group 41-50: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.096,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,49154,,
"AUS","Australia","MEDIANC","Median disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,51935,,
"AUS","Australia","PVTAA5","Age group 51-65: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.129,,
"AUS","Australia","PVTAA5","Age group 51-65: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.13,,
"AUS","Australia","TRPCTOTAL","Current transfers paid (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,-14511,,
"AUS","Australia","TRPCTOTAL","Current transfers paid (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,-16126,,
"AUS","Australia","INCAC5","Age group 51-65: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,63055,,
"AUS","Australia","INCAC5","Age group 51-65: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,67928,,
"AUS","Australia","INCAC6","Age group 66-75: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,45507,,
"AUS","Australia","INCAC6","Age group 66-75: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,50563,,
"AUS","Australia","PVTAA6","Age group 66-75: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.195,,
"AUS","Australia","PVTAA6","Age group 66-75: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.216,,
"AUS","Australia","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,1.26,,
"AUS","Australia","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,1.3,,
"AUS","Australia","PVTAA7","Age group 76+: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.287,,
"AUS","Australia","PVTAA7","Age group 76+: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.271,,
"AUS","Australia","INCAC7","Age group 76+: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,37309,,
"AUS","Australia","INCAC7","Age group 76+: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,38858,,
"AUS","Australia","INCACTOTAL","All age groups: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","AUD","Australian Dollar","0","Units",,,58427,,
"AUS","Australia","INCACTOTAL","All age groups: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","AUD","Australian Dollar","0","Units",,,61171,,
"AUS","Australia","PVT5B","Poverty rate before taxes and transfers, Poverty line 50%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.252,,
"AUS","Australia","PVT5B","Poverty rate before taxes and transfers, Poverty line 50%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.253,,
"AUS","Australia","PVT5A","Poverty rate after taxes and transfers, Poverty line 50%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.121,,
"AUS","Australia","PVT5A","Poverty rate after taxes and transfers, Poverty line 50%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.124,,
"AUS","Australia","PVTAATOTAL","All age groups: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.119,,
"AUS","Australia","PVTAATOTAL","All age groups: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.124,,
"AUS","Australia","PVT6B","Poverty rate before taxes and transfers, Poverty line 60%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.292,,
"AUS","Australia","PVT6B","Poverty rate before taxes and transfers, Poverty line 60%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.287,,
"AUS","Australia","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.199,,
"AUS","Australia","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.204,,
"AUS","Australia","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P10","Interdecile ratio P90/P10","0","Units",,,4.3,,
"AUS","Australia","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","P90P10","Interdecile ratio P90/P10","0","Units",,,4.3,,
"AUS","Australia","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P50","Interdecile ratio P90/P50","0","Units",,,2.1,,
"AUS","Australia","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","P90P50","Interdecile ratio P90/P50","0","Units",,,2,,
"AUS","Australia","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P50P10","Interdecile ratio P50/P10","0","Units",,,2.1,,
"AUS","Australia","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","P50P10","Interdecile ratio P50/P10","0","Units",,,2.2,,
"AUS","Australia","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,5.5,,
"AUS","Australia","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,5.6,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","PER","Persons","0","Units",,,23293506,,
"AUS","Australia","IND","Total number of individuals","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","PER","Persons","0","Units",,,24058573,,
"AUS","Australia","SHA1","Age group 0-17: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.231,,
"AUS","Australia","SHA1","Age group 0-17: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.227,,
"AUS","Australia","SHA2","Age group 18-25: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.105,,
"AUS","Australia","SHA2","Age group 18-25: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.107,,
"AUS","Australia","SHA3","Age group 26-40: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.213,,
"AUS","Australia","SHA3","Age group 26-40: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.217,,
"AUS","Australia","SHA4","Age group 41-50: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.137,,
"AUS","Australia","SHA4","Age group 41-50: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.13,,
"AUS","Australia","SHA5","Age group 51-65: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.178,,
"AUS","Australia","SHA5","Age group 51-65: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.179,,
"AUS","Australia","SHA6","Age group 66-75: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.082,,
"AUS","Australia","SHA6","Age group 66-75: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.086,,
"AUS","Australia","SHA7","Age group 76+: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.054,,
"AUS","Australia","SHA7","Age group 76+: share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","RATIO","Ratio","0","Units",,,0.055,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NBR","Number","0","Units",,,8962301,,
"AUS","Australia","HHD","Total number of households","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2018","2018","NBR","Number","0","Units",,,9270426,,
"AUT","Austria","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","0_TO_1","0-1 scale","0","Units",,,0.275,,
"AUT","Austria","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.284,,
"AUT","Austria","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","0_TO_1","0-1 scale","0","Units",,,0.275,,
"AUT","Austria","CPI2010","Consumer Price Index (base 2010=100)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","IDX","Index","0","Units",,,110.6885496,,
"AUT","Austria","CPI2010","Consumer Price Index (base 2010=100)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","IDX","Index","0","Units",,,111.6754775,,
"AUT","Austria","CPI2010","Consumer Price Index (base 2010=100)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","IDX","Index","0","Units",,,113.9997441,,
"AUT","Austria","PVTAA1","Age group 0-17: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","RATIO","Ratio","0","Units",,,0.096,,
"AUT","Austria","PVTAA1","Age group 0-17: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.115,,
"AUT","Austria","PVTAA1","Age group 0-17: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","RATIO","Ratio","0","Units",,,0.115,,
"AUT","Austria","ECTOTAL","Total earnings (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,24385,,
"AUT","Austria","ECTOTAL","Total earnings (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,25642,,
"AUT","Austria","ECTOTAL","Total earnings (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,25962,,
"AUT","Austria","SECTOTAL","Income from self-employment (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,3603,,
"AUT","Austria","SECTOTAL","Income from self-employment (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,3731,,
"AUT","Austria","SECTOTAL","Income from self-employment (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,3746,,
"AUT","Austria","TACTOTAL","Taxes and social security contributions paid directly by households (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,-10476,,
"AUT","Austria","TACTOTAL","Taxes and social security contributions paid directly by households (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,-10305,,
"AUT","Austria","TACTOTAL","Taxes and social security contributions paid directly by households (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,-10229,,
"AUT","Austria","INCAC1","Age group 0-17: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,25364,,
"AUT","Austria","INCAC1","Age group 0-17: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,26874,,
"AUT","Austria","INCAC1","Age group 0-17: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,26872,,
"AUT","Austria","INCAC2","Age group 18-25: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,28522,,
"AUT","Austria","INCAC2","Age group 18-25: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,30736,,
"AUT","Austria","INCAC2","Age group 18-25: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,32689,,
"AUT","Austria","PVTAA2","Age group 18-25: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","RATIO","Ratio","0","Units",,,0.111,,
"AUT","Austria","PVTAA2","Age group 18-25: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.13,,
"AUT","Austria","PVTAA2","Age group 18-25: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","RATIO","Ratio","0","Units",,,0.099,,
"AUT","Austria","PPPPRC","Purchasing Power Parities for private consumption","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","NATUSD","National currency per US dollar","0","Units",,,0.850461,,
"AUT","Austria","PPPPRC","Purchasing Power Parities for private consumption","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","NATUSD","National currency per US dollar","0","Units",,,0.83209,,
"AUT","Austria","PPPPRC","Purchasing Power Parities for private consumption","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","NATUSD","National currency per US dollar","0","Units",,,0.832154,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,28758,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,30517,,
"AUT","Austria","INCCTOTAL","Mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,30710,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","0_TO_1","0-1 scale","0","Units",,,0.494,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.5,,
"AUT","Austria","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","0_TO_1","0-1 scale","0","Units",,,0.485,,
"AUT","Austria","PVTAA3","Age group 26-40: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"AUT","Austria","PVTAA3","Age group 26-40: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,0.125,,
"AUT","Austria","PVTAA3","Age group 26-40: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","RATIO","Ratio","0","Units",,,0.104,,
"AUT","Austria","SEICTOTAL","Income from self-employment and from goods produced for own consumption (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,3603,,
"AUT","Austria","SEICTOTAL","Income from self-employment and from goods produced for own consumption (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,3731,,
"AUT","Austria","SEICTOTAL","Income from self-employment and from goods produced for own consumption (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,3746,,
"AUT","Austria","INCAC3","Age group 26-40: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,26742,,
"AUT","Austria","INCAC3","Age group 26-40: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,28525,,
"AUT","Austria","INCAC3","Age group 26-40: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,28670,,
"AUT","Austria","INCAC4","Age group 41-50: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,30838,,
"AUT","Austria","INCAC4","Age group 41-50: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,33648,,
"AUT","Austria","INCAC4","Age group 41-50: mean disposable income (current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,33500,,
"AUT","Austria","TRRCTOTAL","Current transfers received (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","EUR","Euro","0","Units",,,10411,,
"AUT","Austria","TRRCTOTAL","Current transfers received (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","EUR","Euro","0","Units",,,10580,,
"AUT","Austria","TRRCTOTAL","Current transfers received (Current prices)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2017","2017","EUR","Euro","0","Units",,,10375,,
"AUT","Austria","PVTAA4","Age group 41-50: Poverty rate after taxes and transfers","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","RATIO","Ratio","0","Units",,,0.068,,
